Price,Date,Lat,Lng,Housing,Floors,House,Rooms,Floor,Area
2700,306,56.317053,44.033457,0,9,Brick,1,4,35.8
10300,306,56.296589,44.076181,0,6,Brick,4,4,129.9
3030,306,56.282011,44.04085,0,9,Brick,2,9,45.5
3100,306,56.310193,44.022614,0,14,Brick,1,5,37
2400,306,56.322325,43.981759,0,5,Brick,1,2,30.3
2150,306,56.312919,43.898117,0,9,Brick,2,1,48.9
4900,306,56.301559,43.942502,0,14,Brick,2,6,72
2800,306,56.278063,43.924312,0,5,Brick,3,2,56.1
4500,306,56.314252,44.026872,0,9,Brick,2,2,66
1550,306,56.275339,43.930869,0,3,Brick,1,2,32
5150,306,56.283884,44.068141,0,17,Brick,3,14,78.1
2100,306,56.281361,43.92397,0,9,Brick,1,6,30.4
1600,306,56.266962,43.91328,0,5,Brick,1,2,32.2
2980,306,56.233739,43.870727,0,5,Brick,2,3,45
2850,306,56.267162,44.023531,0,17,Brick,1,9,43
3250,306,56.238517,43.969973,0,5,Brick,3,4,59
2100,306,56.278428,43.91602,0,5,Brick,1,2,30.5
8320,306,56.319444,44.060182,0,6,Brick,3,5,128
2250,306,56.348312,43.851243,0,5,Brick,1,5,33
2050,306,56.252227,43.851252,0,9,Brick,1,9,34
2700,306,56.301943,43.937885,0,9,Brick,2,3,38
8200,306,56.32192,43.991479,0,4,Brick,3,3,82
6250,306,56.31265,44.002564,0,7,Brick,2,3,85.8
1750,306,56.246446,43.852383,0,5,Brick,1,3,32
3411.1,306,56.297343,44.085191,0,17,Brick,1,3,44.5
3250,306,56.291653,44.068132,1,9,Brick,1,7,50
3224,306,56.306368,43.995701,1,18,Brick,2,9,61.5
5922.15,306,56.348926,43.872712,1,17,Brick,3,10,91.1
3300,306,56.285858,44.050363,0,17,Brick,1,12,44.7
9700,306,56.308965,44.029944,0,12,Brick,3,10,92
3800,306,56.359594,43.858088,0,6,Brick,2,5,59
16000,306,56.313448,43.99818,0,8,Brick,3,6,166
5200,306,56.323253,43.950722,0,4,Brick,4,4,100
3150,306,56.347265,43.936259,0,19,Brick,1,2,45
2760,306,56.267162,44.023531,0,17,Brick,1,16,40.5
14000,306,56.31871,44.010936,0,5,Brick,5,4,143
7100,306,56.326108,44.028058,0,5,Brick,3,2,78.8
2170,306,56.287342,44.042602,0,5,Brick,1,4,29.2
4900,306,56.271431,43.976665,0,5,Brick,2,2,71.4
6900,306,56.309099,44.003884,0,18,Brick,2,2,72.3
1600,306,56.299791,43.933924,0,2,Brick,2,2,48
3400,306,56.23406,43.965832,0,10,Brick,2,3,63
5500,306,56.324696,43.95772,0,10,Brick,3,6,73.5
5000,306,56.279012,43.994614,0,11,Brick,2,10,62.5
6240,306,56.313139,44.014395,1,17,Brick,3,5,88
4400,306,56.313533,44.021015,0,4,Brick,3,2,76.3
3200,306,56.361908,43.853713,0,9,Brick,2,2,46
7500,306,56.319444,44.060182,0,6,Brick,3,5,130
3000,306,56.283864,44.075417,0,17,Brick,1,7,44.7
4000,306,56.302343,44.07663,0,9,Brick,1,2,40
3100,306,56.343419,43.923467,0,9,Brick,2,5,44.3
4780,306,56.291653,44.068132,1,9,Brick,3,4,80
2200,306,56.331892,43.956929,0,5,Brick,3,5,41.3
3100,306,56.298657,44.058753,0,9,Brick,2,3,46
2940,306,56.270971,43.929908,1,10,Brick,2,6,53
2900,306,56.288036,43.983169,0,18,Brick,1,3,37.6
6000,306,56.347265,43.936259,0,16,Brick,3,15,91
3250,306,56.324463,44.001888,0,9,Brick,3,7,60
13000,306,56.313448,43.99818,0,8,Brick,2,7,120
2970,306,56.346906,43.801215,0,5,Brick,2,5,47.1
2100,306,56.336543,43.839349,0,9,Brick,1,9,32.2
2200,306,56.366316,43.801099,0,10,Brick,1,2,43.5
4911.12,306,56.318201,44.014871,1,19,Brick,2,4,68.4
2600,306,56.291359,43.937247,1,10,Brick,1,3,35.5
1330,306,56.280726,43.939071,1,10,Brick,1,5,23.1
2350,306,56.271336,43.915849,0,5,Brick,2,1,45
1600,306,56.281966,43.935244,0,2,Brick,2,1,38.6
2200,306,56.23406,43.965832,0,10,Brick,1,2,39
8000,306,56.306103,43.995431,0,10,Brick,3,7,95
2250,306,56.293637,44.040706,0,5,Brick,2,1,45
12500,306,56.314292,44.018177,0,11,Brick,3,4,90
3600,306,56.319295,44.030322,0,12,Brick,2,1,49
5250,306,56.372408,43.823853,0,19,Brick,2,14,70
2870,306,56.233294,43.964906,0,17,Brick,1,6,38
4100,306,56.326887,44.005986,0,9,Brick,3,5,63
